timestamp,yaw,pitch,distance,distance_noise,x_noise,y_noise,z_noise,object_id,color,color.1,color.2,id,x,y,z
0.082,5.16,-0.172,13.341,13.335,11.843,5.69,-2.278,22081.0,204.0,204.0,204.0,0.0,11.849,5.692,2.721
0.082,5.16,-0.231,13.513,13.498,11.843,5.69,-3.089,22081.0,72.0,204.0,204.0,0.0,11.857,5.697,1.907
0.082,5.16,-0.225,13.49,13.489,11.852,5.694,-3.011,22081.0,72.0,204.0,204.0,0.0,11.853,5.695,1.9889999999999999
0.082,5.16,-0.164,13.324,13.215,11.752,5.646,-2.154,22081.0,204.0,204.0,204.0,0.0,11.85,5.693,2.828
0.082,5.16,-0.155,13.309,13.238,11.789,5.664,-2.046,22081.0,6.0,6.0,6.0,0.0,11.853,5.694,2.943
0.082,5.16,-0.216,13.463,13.522,11.905,5.719,-2.897,22081.0,204.0,204.0,204.0,0.0,11.853,5.695,2.115
0.082,5.16,-0.209,13.442,13.496,11.901,5.717,-2.799,22081.0,204.0,204.0,204.0,0.0,11.853,5.694,2.212
0.082,5.163,-0.124,13.291,13.291,11.87,5.747,-1.646,22081.0,6.0,6.0,6.0,0.0,11.871,5.747,3.354
0.082,5.163,-0.119,13.3,13.368,11.947,5.784,-1.589,22081.0,6.0,6.0,6.0,0.0,11.886,5.755,3.419
0.082,5.163,-0.113,13.319,13.266,11.863,5.744,-1.5,22081.0,6.0,6.0,6.0,0.0,11.911,5.767,3.4939999999999998
0.082,5.163,-0.106,13.371,13.401,11.993,5.806,-1.423,22081.0,204.0,204.0,204.0,0.0,11.967,5.794,3.58
0.082,5.163,-0.149,13.295,13.28,11.821,5.723,-1.969,22081.0,6.0,6.0,6.0,0.0,11.834,5.729,3.028
0.082,5.163,-0.142,13.289,13.268,11.821,5.723,-1.884,22081.0,6.0,6.0,6.0,0.0,11.84,5.732,3.114
0.082,5.163,-0.102,13.523,13.595,12.172,5.893,-1.384,22081.0,204.0,204.0,204.0,0.0,12.108,5.862,3.623
0.082,5.163,-0.095,14.508,14.501,12.992,6.29,-1.383,22081.0,204.0,204.0,204.0,0.0,12.999,6.293,3.617
0.082,5.163,-0.137,13.286,13.362,11.914,5.768,-1.825,22081.0,6.0,6.0,6.0,0.0,11.846,5.735,3.185
0.082,5.163,-0.131,13.286,13.282,11.851,5.738,-1.74,22081.0,6.0,6.0,6.0,0.0,11.855,5.739,3.259
0.082,5.163,-0.088,16.044,16.049,14.389,6.966,-1.414,22081.0,204.0,204.0,204.0,0.0,14.385,6.964,3.5869999999999997
0.082,5.163,-0.198,13.404,13.333,11.766,5.696,-2.624,22081.0,204.0,204.0,204.0,0.0,11.829,5.727,2.362
0.082,5.163,-0.188,13.376,13.422,11.867,5.745,-2.509,22081.0,204.0,204.0,204.0,0.0,11.827,5.726,2.499
0.082,5.163,-0.28,13.774,13.703,11.855,5.74,-3.78,22081.0,204.0,204.0,204.0,0.0,11.916,5.769,1.2000000000000002
0.082,5.163,-0.27,13.658,13.669,11.856,5.74,-3.652,22081.0,204.0,204.0,204.0,0.0,11.846,5.735,1.3519999999999999
0.082,5.163,-0.262,13.615,13.577,11.803,5.714,-3.517,22081.0,204.0,204.0,204.0,0.0,11.836,5.73,1.4729999999999999
0.082,5.163,-0.252,13.602,13.56,11.818,5.721,-3.387,22081.0,72.0,204.0,204.0,0.0,11.854,5.739,1.6019999999999999
0.082,5.163,-0.241,13.553,13.64,11.921,5.772,-3.26,22081.0,72.0,204.0,204.0,0.0,11.845,5.735,1.7610000000000001
0.082,5.163,-0.18,13.356,13.373,11.841,5.733,-2.399,22081.0,204.0,204.0,204.0,0.0,11.826,5.726,2.604
0.082,5.163,-0.172,13.335,13.357,11.845,5.735,-2.282,22081.0,204.0,204.0,204.0,0.0,11.826,5.725,2.722
0.082,5.163,-0.231,13.511,13.511,11.838,5.731,-3.092,22081.0,204.0,204.0,204.0,0.0,11.838,5.731,1.908
0.082,5.163,-0.225,13.488,13.469,11.817,5.721,-3.006,22081.0,204.0,204.0,204.0,0.0,11.834,5.729,1.9900000000000002
